WARD,BIA,DAYS SERVICED,ASSET TYPE,STATUS
01,Albion Islington Square,5,WR2,Existing
07,Emery Village,3,WR2,Existing
07,Emery Village,5,WR2,Temporarily Removed
07,Emery Village,3,WR2,Existing
07,Emery Village,3,WR2,Existing
06,DuKe Heights,5,WR2,Existing
06,DuKe Heights,5,WR1,Existing
08,Fairbank Village,5,WR2,Existing
08,The Eglinton Way,5,WR2,Existing
08,The Eglinton Way,5,WR1,Existing
07,DuKe Heights,5,WR2,Existing
06,DuKe Heights,5,WR2,Existing
13,Downtown Yonge,7,WR4,Existing
13,Downtown Yonge,7,WR4,Temporarily Removed
19,The Beach,7,WR4,Existing
10,CityPlace and Fort York,7,WR2,Existing
09,Bloordale Village,7,WR2,Existing
09,College West,5,WR4,Existing
06,Wilson Village,5,WR2,Existing
06,Wilson Village,5,WR2,Existing
04,The Junction,1,WR4,Existing
07,Emery Village,5,WR2,Existing
07,Emery Village,5,WR2,Existing
04,Bloor West Village,1,WR4,Existing
04,Parkdale Village,5,WR2,Existing
09,West Queen West,5,WR2,Existing
09,College West,5,WR2,Existing
09,Little Portugal,5,WR2,Existing
09,College West,5,WR2,Existing
08,The Eglinton Way,1,WR1,Temporarily Removed
05,Mount Dennis,5,WR3,Existing
10,CityPlace and Fort York,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Temporarily Removed
10,Toronto Downtown West,7,WR2,Temporarily Removed
18,Willowdale,7,WR2,Existing
18,Willowdale,7,WR2,Existing
15,Uptown Yonge,7,WR2,Existing
11,Chinatown,7,WR2,Existing
10,Chinatown,7,WR1,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Temporarily Removed
10,Toronto Downtown West,7,WR1,Existing
11,Harbord Street,7,WR1,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Toronto Downtown West,7,WR1,Temporarily Removed
23,Sheppard East Village,3,WR2,Existing
18,Willowdale,5,WR2,Existing
10,CityPlace and Fort York,7,WR2,Existing
10,CityPlace and Fort York,7,WR3,Existing
10,CityPlace and Fort York,7,WR2,Existing
11,Dupont by the Castle,5,WR3,Existing
13,St. Lawrence Market Neighbourhood,7,WR4,Existing
04,Bloor West Village,1,WR4,Existing
04,Bloor West Village,1,WR4,Existing
12,Mount Pleasant Village,7,WR1,Existing
13,Downtown Yonge,7,WR4,Temporarily Removed
10,West Queen West,7,WR1,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
13,Historic Queen East,7,WR3,Existing
09,Little Portugal,7,WR2,Existing
12,Dupont by the Castle,5,WR2,Existing
14,Broadview Danforth,7,WR2,Existing
09,Bloordale Village,7,WR2,Existing
10,West Queen West,5,WR2,Existing
05,Weston Village,5,WR1,Existing
13,Financial District,7,WR4,Existing
11,Dupont by the Castle,5,WR3,Existing
11,Dupont by the Castle,7,WR3,Existing
11,Korea Town,7,WR3,Existing
09,Bloorcourt Village,7,WR3,Existing
10,Trinity-Bellwoods,7,WR2,Existing
07,Emery Village,3,WR2,Existing
06,DuKe Heights,5,WR2,Temporarily Removed
06,DuKe Heights,5,WR2,Temporarily Removed
20,Crossroads of the Danforth,3,WR2,Existing
10,The Waterfront,7,WR1,Existing
14,Danforth Mosaic,7,WR2,Existing
03,Long Branch,7,WR4,Existing
04,Bloor West Village,7,WR4,Existing
13,Bloor-Yorkville,7,WR1,Existing
05,Eglinton Hill,5,WR1,Temporarily Removed
04,Bloor By The Park,7,WR1,Existing
04,Bloor By The Park,5,WR2,Existing
04,Bloor By The Park,5,WR2,Existing
11,Bloor-Yorkville,7,WR2,Existing
15,Mount Pleasant Village,1,WR2,Existing
14,Pape Village,3,WR4,Existing
10,Toronto Downtown West,7,WR3,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
10,Queen Street West,7,WR2,Existing
10,Toronto Downtown West,7,WR1,Temporarily Removed
10,Toronto Downtown West,7,WR2,Existing
05,Weston Village,5,WR2,Existing
12,Forest Hill Village,5,WR2,Existing
10,Chinatown,7,WR2,Temporarily Removed
12,Mount Pleasant Village,5,WR2,Temporarily Removed
18,Willowdale,4,WR2,Existing
09,Corso Italia,5,WR1,Existing
13,Downtown Yonge,7,WR4,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
10,Queen Street West,7,WR2,Existing
03,Shop The Queensway,5,WR2,Existing
19,Danforth Mosaic,3,WR1,Existing
12,Wychwood Heights,5,WR2,Existing
12,Mount Pleasant Village,1,WR3,Existing
13,St. Lawrence Market Neighbourhood,5,WR2,Existing
03,Mimico By The Lake,7,WR4,Existing
08,The Eglinton Way,5,WR1,Existing
09,St. Clair Gardens,5,WR1,Existing
04,Bloor West Village,7,WR4,Existing
04,Bloor West Village,1,WR4,Existing
04,Bloor West Village,7,WR4,Existing
04,Parkdale Village,5,WR1,Temporarily Removed
04,Parkdale Village,5,WR2,Existing
04,Parkdale Village,7,WR1,Existing
04,Bloor By The Park,7,WR1,Existing
09,St. Clair Gardens,5,WR1,Existing
09,Corso Italia,5,WR2,Existing
09,St. Clair Gardens,5,WR1,Existing
10,St. Lawrence Market Neighbourhood,7,WR3,Existing
10,Toronto Downtown West,7,WR4,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Temporarily Removed
18,Willowdale,5,WR2,Existing
11,Bloor Annex,7,WR4,Existing
11,Downtown Yonge,7,WR4,Existing
13,Church-Wellesley Village,7,WR1,Temporarily Removed
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
10,St. Lawrence Market Neighbourhood,7,WR3,Existing
13,Financial District,7,WR4,Temporarily Removed
09,College Promenade,5,WR4,Existing
11,Little Italy,7,WR2,Existing
18,Willowdale,4,WR2,Existing
13,Church-Wellesley Village,7,WR1,Existing
13,St. Lawrence Market Neighbourhood,7,WR1,Existing
08,Uptown Yonge,7,WR2,Existing
09,St. Clair Gardens,5,WR2,Temporarily Removed
08,Uptown Yonge,7,WR1,Existing
